"age_binned" "mean" "startTime" "endTime"
"1257" "(12,24]" 0.0310633784963546 -150 3550
"1258" "(24,36]" 0.0511182387929612 -150 3550
"1259" "(36,48]" 0.103858343899294 -150 3550
"1260" "(48,60]" 0.059022084091088 -150 3550
"1261" "(12,24]" 0.0342226050043283 -150 3600
"1262" "(24,36]" 0.0489401037491288 -150 3600
"1263" "(36,48]" 0.105219440009056 -150 3600
"1264" "(48,60]" 0.0600154173000208 -150 3600
"1265" "(12,24]" 0.0335771906547154 -150 3650
"1266" "(24,36]" 0.0476681127316925 -150 3650
"1267" "(36,48]" 0.106184743551281 -150 3650
"1268" "(48,60]" 0.0609323624443401 -150 3650
"1269" "(12,24]" 0.0340443571622357 -150 3700
"1270" "(24,36]" 0.0493950253198469 -150 3700
"1271" "(36,48]" 0.106182758885293 -150 3700
"1272" "(48,60]" 0.0610489195724029 -150 3700
"1273" "(12,24]" 0.0329988175402545 -150 3750
"1274" "(24,36]" 0.0494213086130041 -150 3750
"1275" "(36,48]" 0.106818086751289 -150 3750
"1276" "(48,60]" 0.0597655290740072 -150 3750
"1277" "(12,24]" 0.0326632983047189 -150 3800
"1278" "(24,36]" 0.0491439132398512 -150 3800
"1279" "(36,48]" 0.106895074474122 -150 3800
"1280" "(48,60]" 0.0580836055589479 -150 3800
"1281" "(12,24]" 0.0321009675238564 -150 3850
"1282" "(24,36]" 0.0487452013505191 -150 3850
"1283" "(36,48]" 0.108345550383625 -150 3850
"1284" "(48,60]" 0.0567936854953109 -150 3850
"1285" "(12,24]" 0.0323929502385587 -150 3900
"1286" "(24,36]" 0.0486980443204009 -150 3900
"1287" "(36,48]" 0.109124278238579 -150 3900
"1288" "(48,60]" 0.0553622152697609 -150 3900
"1289" "(12,24]" 0.0318082318932047 -150 3950
"1290" "(24,36]" 0.0503504499564812 -150 3950
"1291" "(36,48]" 0.109644302611253 -150 3950
"1292" "(48,60]" 0.053648137798148 -150 3950
"1293" "(12,24]" 0.0329422609624354 -150 4000
"1294" "(24,36]" 0.0517496803649305 -150 4000
"1295" "(36,48]" 0.110711562918982 -150 4000
"1296" "(48,60]" 0.0516932579170404 -150 4000
"1297" "(12,24]" 0.00932666105608898 -100 0
"1298" "(24,36]" 0.00729534488542021 -100 0
"1299" "(36,48]" -0.0239423776151121 -100 0
"1300" "(48,60]" 0.0475873069939841 -100 0
"1301" "(12,24]" 0.00970010137699774 -100 50
"1302" "(24,36]" 0.0123500331360898 -100 50
"1303" "(36,48]" -0.014416260033687 -100 50
"1304" "(48,60]" 0.0433955453740106 -100 50
"1305" "(12,24]" 0.0235030521711045 -100 100
"1306" "(24,36]" 0.00355707583155299 -100 100
"1307" "(36,48]" -0.0138257541260206 -100 100
"1308" "(48,60]" 0.048022512356608 -100 100
"1309" "(12,24]" 0.02177643202112 -100 150
"1310" "(24,36]" -0.00447110312741275 -100 150
"1311" "(36,48]" -0.0100840120409878 -100 150
"1312" "(48,60]" 0.0450236347400531 -100 150
"1313" "(12,24]" 0.0214902527210515 -100 200
"1314" "(24,36]" -0.00930398132381534 -100 200
"1315" "(36,48]" -0.00765011967089339 -100 200
"1316" "(48,60]" 0.0514840100627331 -100 200
"1317" "(12,24]" 0.0145870439970418 -100 250
"1318" "(24,36]" -0.0167112015381275 -100 250
"1319" "(36,48]" -0.0031010031679322 -100 250
"1320" "(48,60]" 0.0579084334481318 -100 250
"1321" "(12,24]" 0.03102742059636 -100 300
"1322" "(24,36]" -0.0193335147967416 -100 300
"1323" "(36,48]" -0.00025847622751735 -100 300
"1324" "(48,60]" 0.0600152653437408 -100 300
"1325" "(12,24]" 0.0315917958425854 -100 350
"1326" "(24,36]" -0.0202625433251108 -100 350
"1327" "(36,48]" 0.000423700442312203 -100 350
"1328" "(48,60]" 0.0592281966497319 -100 350
"1329" "(12,24]" 0.0327046046944466 -100 400
"1330" "(24,36]" -0.0230991369317017 -100 400
"1331" "(36,48]" -0.00229200173154151 -100 400
"1332" "(48,60]" 0.0547942469330349 -100 400
"1333" "(12,24]" 0.0141517985773564 -100 450
"1334" "(24,36]" -0.0212159956560227 -100 450
"1335" "(36,48]" -0.00275672103028243 -100 450
"1336" "(48,60]" 0.0470285327183671 -100 450
"1337" "(12,24]" 0.00584269726025197 -100 500
"1338" "(24,36]" -0.021576123016142 -100 500
"1339" "(36,48]" -0.00520678482255102 -100 500
"1340" "(48,60]" 0.0379033909162285 -100 500
"1341" "(12,24]" 0.00277325553920168 -100 550
"1342" "(24,36]" -0.0239265219012506 -100 550
"1343" "(36,48]" -0.005778403439573 -100 550
"1344" "(48,60]" 0.0402113685847898 -100 550
"1345" "(12,24]" 0.00229341079074272 -100 600
"1346" "(24,36]" -0.0230970565897017 -100 600
"1347" "(36,48]" -0.00520502543617822 -100 600
"1348" "(48,60]" 0.0317402204656394 -100 600
"1349" "(12,24]" 0.0106514152257329 -100 650
"1350" "(24,36]" -0.0234746365835445 -100 650
"1351" "(36,48]" -0.00943161556197846 -100 650
"1352" "(48,60]" 0.0252337502909742 -100 650
"1353" "(12,24]" -0.00279167629597878 -100 700
"1354" "(24,36]" -0.0229729885504116 -100 700
"1355" "(36,48]" -0.00938173879996021 -100 700
"1356" "(48,60]" 0.0252363525884932 -100 700
"1357" "(12,24]" -0.000194668771407996 -100 750
"1358" "(24,36]" -0.0245831219894211 -100 750
"1359" "(36,48]" -0.00796639020338012 -100 750
"1360" "(48,60]" 0.0235045056372111 -100 750
"1361" "(12,24]" -0.00677380424898444 -100 800
"1362" "(24,36]" -0.0244546931874602 -100 800
"1363" "(36,48]" -0.00565320874035964 -100 800
"1364" "(48,60]" 0.0213909265111372 -100 800
"1365" "(12,24]" 0.0104078645423211 -100 850
"1366" "(24,36]" -0.0229549927136968 -100 850
"1367" "(36,48]" -0.00391169151432833 -100 850
"1368" "(48,60]" 0.0227619524994898 -100 850
"1369" "(12,24]" 0.00745217222272143 -100 900
"1370" "(24,36]" -0.022725882639962 -100 900
"1371" "(36,48]" -0.00127614375469012 -100 900
"1372" "(48,60]" 0.0234973544029453 -100 900
"1373" "(12,24]" 0.00999109431813568 -100 950
"1374" "(24,36]" -0.0227771834795149 -100 950
"1375" "(36,48]" 0.00156284325357147 -100 950
"1376" "(48,60]" 0.0241845965878318 -100 950
"1377" "(12,24]" 0.0104941649545517 -100 1000
"1378" "(24,36]" -0.0176499408828862 -100 1000
"1379" "(36,48]" 0.00557846002271792 -100 1000
"1380" "(48,60]" 0.0257664768404143 -100 1000
"1381" "(12,24]" 0.0118447164135512 -100 1050
"1382" "(24,36]" -0.0131418503541668 -100 1050
"1383" "(36,48]" 0.01159536666365 -100 1050
"1384" "(48,60]" 0.0284673147357734 -100 1050
"1385" "(12,24]" 0.012786472625499 -100 1100
"1386" "(24,36]" -0.00990550821855402 -100 1100
"1387" "(36,48]" 0.0166328148944281 -100 1100
"1388" "(48,60]" 0.0284976558379739 -100 1100
"1389" "(12,24]" 0.011494874984369 -100 1150
"1390" "(24,36]" -0.00547592109120167 -100 1150
"1391" "(36,48]" 0.0190242035037401 -100 1150
"1392" "(48,60]" 0.0173206122346236 -100 1150
"1393" "(12,24]" 0.0116890485113853 -100 1200
"1394" "(24,36]" -0.000961587991270465 -100 1200
"1395" "(36,48]" 0.0282415155842964 -100 1200
"1396" "(48,60]" 0.0163657719385252 -100 1200
"1397" "(12,24]" 0.0120630596566473 -100 1250
"1398" "(24,36]" 0.00228076070181205 -100 1250
"1399" "(36,48]" 0.0315636318883553 -100 1250
"1400" "(48,60]" 0.0147251894489473 -100 1250
"1401" "(12,24]" 0.0173262357591093 -100 1300
"1402" "(24,36]" 0.0034090852012122 -100 1300
"1403" "(36,48]" 0.0350589539757572 -100 1300
"1404" "(48,60]" 0.0131313491840306 -100 1300
"1405" "(12,24]" 0.0150237082496941 -100 1350
"1406" "(24,36]" 0.0047089555284989 -100 1350
"1407" "(36,48]" 0.0377437332863546 -100 1350
"1408" "(48,60]" 0.0135136576077968 -100 1350
"1409" "(12,24]" 0.0113666253221176 -100 1400
"1410" "(24,36]" 0.0065451563593257 -100 1400
"1411" "(36,48]" 0.0425091632023854 -100 1400
"1412" "(48,60]" 0.0123436852238274 -100 1400
"1413" "(12,24]" 0.0146404360130882 -100 1450
"1414" "(24,36]" 0.00834047694703153 -100 1450
"1415" "(36,48]" 0.0481982948960489 -100 1450
"1416" "(48,60]" 0.0121915429739604 -100 1450
"1417" "(12,24]" 0.0133676594126251 -100 1500
"1418" "(24,36]" 0.00968095797880686 -100 1500
"1419" "(36,48]" 0.0509172951978974 -100 1500
"1420" "(48,60]" 0.00819107984653481 -100 1500
"1421" "(12,24]" 0.014389653391509 -100 1550
"1422" "(24,36]" 0.0112391813304385 -100 1550
"1423" "(36,48]" 0.0549829133140591 -100 1550
"1424" "(48,60]" 0.0133310582743143 -100 1550
"1425" "(12,24]" 0.0172743034575997 -100 1600
"1426" "(24,36]" 0.0184644527172909 -100 1600
"1427" "(36,48]" 0.0601547741216136 -100 1600
"1428" "(48,60]" 0.0146499689939869 -100 1600
"1429" "(12,24]" 0.0202064781100114 -100 1650
"1430" "(24,36]" 0.0206218902664164 -100 1650
"1431" "(36,48]" 0.0619524758668109 -100 1650
"1432" "(48,60]" 0.0140534476038267 -100 1650
"1433" "(12,24]" 0.0195617172632022 -100 1700
"1434" "(24,36]" 0.0247018106445619 -100 1700
"1435" "(36,48]" 0.0639813580981009 -100 1700
"1436" "(48,60]" 0.0172569537468046 -100 1700
"1437" "(12,24]" 0.0258506321786335 -100 1750
"1438" "(24,36]" 0.0283429551383207 -100 1750
"1439" "(36,48]" 0.0650968726648353 -100 1750
"1440" "(48,60]" 0.0185188416724143 -100 1750
"1441" "(12,24]" 0.0309758286591107 -100 1800
"1442" "(24,36]" 0.0313488267459342 -100 1800
"1443" "(36,48]" 0.0658184792205538 -100 1800
"1444" "(48,60]" 0.0220703792412778 -100 1800
"1445" "(12,24]" 0.0308859076769732 -100 1850
"1446" "(24,36]" 0.0335273228490652 -100 1850
"1447" "(36,48]" 0.068202871810796 -100 1850
"1448" "(48,60]" 0.0275912706249305 -100 1850
"1449" "(12,24]" 0.0325065024245605 -100 1900
"1450" "(24,36]" 0.0362077126949085 -100 1900
"1451" "(36,48]" 0.0689155352291504 -100 1900
"1452" "(48,60]" 0.0308201586705731 -100 1900
"1453" "(12,24]" 0.0308738431656883 -100 1950
"1454" "(24,36]" 0.0359176973438083 -100 1950
"1455" "(36,48]" 0.0648220488144066 -100 1950
"1456" "(48,60]" 0.0345123118596355 -100 1950
"1457" "(12,24]" 0.0322170713479013 -100 2000
"1458" "(24,36]" 0.0381207995546477 -100 2000
"1459" "(36,48]" 0.0647928263843842 -100 2000
"1460" "(48,60]" 0.0393802630673585 -100 2000
"1461" "(12,24]" 0.034276937931398 -100 2050
"1462" "(24,36]" 0.0369451992794588 -100 2050
"1463" "(36,48]" 0.0651646974082358 -100 2050
"1464" "(48,60]" 0.0386895089823276 -100 2050
"1465" "(12,24]" 0.0351689951512926 -100 2100
"1466" "(24,36]" 0.0377609357859619 -100 2100
"1467" "(36,48]" 0.0674892203937716 -100 2100
"1468" "(48,60]" 0.0382199229715336 -100 2100
"1469" "(12,24]" 0.0334855466212841 -100 2150
"1470" "(24,36]" 0.0390937976855771 -100 2150
"1471" "(36,48]" 0.0686734592451332 -100 2150
"1472" "(48,60]" 0.0360367189562214 -100 2150
"1473" "(12,24]" 0.0308626198839184 -100 2200
"1474" "(24,36]" 0.0389893917303836 -100 2200
"1475" "(36,48]" 0.0707810020419922 -100 2200
"1476" "(48,60]" 0.0402321800135919 -100 2200
"1477" "(12,24]" 0.0306408565784565 -100 2250
"1478" "(24,36]" 0.0421124525613844 -100 2250
"1479" "(36,48]" 0.0733841775223527 -100 2250
"1480" "(48,60]" 0.0415788165014808 -100 2250
"1481" "(12,24]" 0.0300774640080436 -100 2300
"1482" "(24,36]" 0.0424448873037978 -100 2300
"1483" "(36,48]" 0.0762045951384197 -100 2300
"1484" "(48,60]" 0.0417725646937216 -100 2300
"1485" "(12,24]" 0.0322070364515822 -100 2350
"1486" "(24,36]" 0.0443413169493597 -100 2350
"1487" "(36,48]" 0.0758451976541337 -100 2350
"1488" "(48,60]" 0.0391949096997141 -100 2350
"1489" "(12,24]" 0.0258403557598891 -100 2400
"1490" "(24,36]" 0.0472472960680347 -100 2400
"1491" "(36,48]" 0.07835246167085 -100 2400
"1492" "(48,60]" 0.0376970773178308 -100 2400
"1493" "(12,24]" 0.0189127525117161 -100 2450
"1494" "(24,36]" 0.0481112268466873 -100 2450
"1495" "(36,48]" 0.0785284651204028 -100 2450
"1496" "(48,60]" 0.036797036578125 -100 2450
"1497" "(12,24]" 0.0192595386309022 -100 2500
"1498" "(24,36]" 0.0490610412347068 -100 2500
"1499" "(36,48]" 0.0812410478114532 -100 2500
"1500" "(48,60]" 0.0354869360900326 -100 2500
"1501" "(12,24]" 0.0198764353455519 -100 2550
"1502" "(24,36]" 0.0520061880581006 -100 2550
"1503" "(36,48]" 0.082519586784639 -100 2550
"1504" "(48,60]" 0.033602170702098 -100 2550
"1505" "(12,24]" 0.0204106279323998 -100 2600
"1506" "(24,36]" 0.0525978144259949 -100 2600
"1507" "(36,48]" 0.0866144311594735 -100 2600
"1508" "(48,60]" 0.0334979695975948 -100 2600
"1509" "(12,24]" 0.0231459085383087 -100 2650
"1510" "(24,36]" 0.0538566059383972 -100 2650
"1511" "(36,48]" 0.087554373238096 -100 2650
"1512" "(48,60]" 0.0348366062742066 -100 2650
"1513" "(12,24]" 0.0239287099799355 -100 2700
"1514" "(24,36]" 0.0545327613671339 -100 2700
"1515" "(36,48]" 0.0881969215861333 -100 2700
"1516" "(48,60]" 0.035815549735385 -100 2700
"1517" "(12,24]" 0.0277288832234794 -100 2750
"1518" "(24,36]" 0.0550974688290554 -100 2750
"1519" "(36,48]" 0.0896499752699901 -100 2750
"1520" "(48,60]" 0.0365218037718715 -100 2750
"1521" "(12,24]" 0.0280778079943046 -100 2800
"1522" "(24,36]" 0.0558719799434669 -100 2800
"1523" "(36,48]" 0.090149485775726 -100 2800
"1524" "(48,60]" 0.0371899109071044 -100 2800
"1525" "(12,24]" 0.0285020206411694 -100 2850
"1526" "(24,36]" 0.0556838695777694 -100 2850
"1527" "(36,48]" 0.0905305790234213 -100 2850
"1528" "(48,60]" 0.0391700240422547 -100 2850
"1529" "(12,24]" 0.0295661173839101 -100 2900
"1530" "(24,36]" 0.0543640921937324 -100 2900
"1531" "(36,48]" 0.0918291753285799 -100 2900
"1532" "(48,60]" 0.0398183576386277 -100 2900
"1533" "(12,24]" 0.0377074875528993 -100 2950
"1534" "(24,36]" 0.0570138880395219 -100 2950
"1535" "(36,48]" 0.0931903254894413 -100 2950
"1536" "(48,60]" 0.0403602477751528 -100 2950
"1537" "(12,24]" 0.0367977731527292 -100 3000
"1538" "(24,36]" 0.0573768140843804 -100 3000
"1539" "(36,48]" 0.0945692202535009 -100 3000
"1540" "(48,60]" 0.0392963716367846 -100 3000
"1541" "(12,24]" 0.0370165892468558 -100 3050
"1542" "(24,36]" 0.0582428976055055 -100 3050
"1543" "(36,48]" 0.0953352879421829 -100 3050
"1544" "(48,60]" 0.0421538020685637 -100 3050
"1545" "(12,24]" 0.0354223989210102 -100 3100
"1546" "(24,36]" 0.0576065213462891 -100 3100
"1547" "(36,48]" 0.0966075332963949 -100 3100
"1548" "(48,60]" 0.0431395497320794 -100 3100
"1549" "(12,24]" 0.0339478694593682 -100 3150
"1550" "(24,36]" 0.0581826862879451 -100 3150
"1551" "(36,48]" 0.0984665757896638 -100 3150
"1552" "(48,60]" 0.054148446525503 -100 3150
"1553" "(12,24]" 0.0353394119498789 -100 3200
"1554" "(24,36]" 0.0567669258726406 -100 3200
"1555" "(36,48]" 0.101310057839142 -100 3200
"1556" "(48,60]" 0.0556342960548873 -100 3200
"1557" "(12,24]" 0.0361302200133808 -100 3250
"1558" "(24,36]" 0.0560353494916885 -100 3250
"1559" "(36,48]" 0.103183594721675 -100 3250
"1560" "(48,60]" 0.0566161955415099 -100 3250
"1561" "(12,24]" 0.0352079827425918 -100 3300
"1562" "(24,36]" 0.0530214848110368 -100 3300
"1563" "(36,48]" 0.105689669861391 -100 3300
"1564" "(48,60]" 0.0586240971655699 -100 3300
"1565" "(12,24]" 0.0352793702131184 -100 3350
"1566" "(24,36]" 0.0519873051198826 -100 3350
"1567" "(36,48]" 0.107653023995752 -100 3350
"1568" "(48,60]" 0.060263517193409 -100 3350
"1569" "(12,24]" 0.0346480914868191 -100 3400
"1570" "(24,36]" 0.0501473979811057 -100 3400
"1571" "(36,48]" 0.108579001865238 -100 3400
"1572" "(48,60]" 0.0619714469007114 -100 3400
"1573" "(12,24]" 0.0296846692862313 -100 3450
"1574" "(24,36]" 0.051659477615011 -100 3450
"1575" "(36,48]" 0.10873320091386 -100 3450
"1576" "(48,60]" 0.0604193596929027 -100 3450
"1577" "(12,24]" 0.0296071741026517 -100 3500
"1578" "(24,36]" 0.0529698962676616 -100 3500
"1579" "(36,48]" 0.109515656515523 -100 3500
"1580" "(48,60]" 0.0607221171677065 -100 3500
"1581" "(12,24]" 0.0301942414474458 -100 3550
"1582" "(24,36]" 0.0526575933359069 -100 3550
"1583" "(36,48]" 0.109968475338425 -100 3550
"1584" "(48,60]" 0.0613393525800569 -100 3550
"1585" "(12,24]" 0.0333633609091622 -100 3600
"1586" "(24,36]" 0.0500887504869496 -100 3600
"1587" "(36,48]" 0.111305261784852 -100 3600
"1588" "(48,60]" 0.0624026725952871 -100 3600
"1589" "(12,24]" 0.0329338366457999 -100 3650
"1590" "(24,36]" 0.048777517798433 -100 3650
"1591" "(36,48]" 0.112691034754191 -100 3650
"1592" "(48,60]" 0.0633332315647781 -100 3650
"1593" "(12,24]" 0.0332886830124459 -100 3700
"1594" "(24,36]" 0.050296843245824 -100 3700
"1595" "(36,48]" 0.112678483187793 -100 3700
"1596" "(48,60]" 0.0632476450362092 -100 3700
"1597" "(12,24]" 0.0323651472434335 -100 3750
"1598" "(24,36]" 0.0501879760840815 -100 3750
"1599" "(36,48]" 0.113253191590106 -100 3750
"1600" "(48,60]" 0.0621058065759817 -100 3750
"1601" "(12,24]" 0.0320204535664873 -100 3800
"1602" "(24,36]" 0.0498340729432337 -100 3800
"1603" "(36,48]" 0.113167861977407 -100 3800
"1604" "(48,60]" 0.0604466395638462 -100 3800
"1605" "(12,24]" 0.0320917495084121 -100 3850
"1606" "(24,36]" 0.0493961652967849 -100 3850
"1607" "(36,48]" 0.114568201222772 -100 3850
"1608" "(48,60]" 0.0591698226721481 -100 3850
"1609" "(12,24]" 0.0326602499737837 -100 3900
"1610" "(24,36]" 0.049313019300178 -100 3900
"1611" "(36,48]" 0.115305412230148 -100 3900
"1612" "(48,60]" 0.0576924094971707 -100 3900
"1613" "(12,24]" 0.0322056226273855 -100 3950
"1614" "(24,36]" 0.0509295906499469 -100 3950
"1615" "(36,48]" 0.115803117188561 -100 3950
"1616" "(48,60]" 0.0558619775151121 -100 3950
"1617" "(12,24]" 0.0319539848456447 -100 4000
"1618" "(24,36]" 0.0523498754367368 -100 4000
"1619" "(36,48]" 0.115270976941484 -100 4000
"1620" "(48,60]" 0.053823182607493 -100 4000
"1621" "(12,24]" 0.0295507599122978 -50 50
"1622" "(24,36]" 0.0117657963197893 -50 50
"1623" "(36,48]" -0.01457822867659 -50 50
"1624" "(48,60]" 0.0449804499918325 -50 50
"1625" "(12,24]" 0.0377691818361597 -50 100
"1626" "(24,36]" 0.000199298703837398 -50 100
"1627" "(36,48]" -0.0141807111015194 -50 100
"1628" "(48,60]" 0.0502497670250852 -50 100
"1629" "(12,24]" 0.0284002523058854 -50 150
"1630" "(24,36]" -0.00727320240525914 -50 150
"1631" "(36,48]" -0.0096008145555076 -50 150
"1632" "(48,60]" 0.0476157383262078 -50 150
"1633" "(12,24]" 0.0266606307938761 -50 200
"1634" "(24,36]" -0.0105192756866281 -50 200
"1635" "(36,48]" -0.0073072106228531 -50 200
"1636" "(48,60]" 0.0537489422313312 -50 200
"1637" "(12,24]" 0.0266825463285293 -50 250
"1638" "(24,36]" -0.0189741528752631 -50 250
"1639" "(36,48]" -0.00281428997225534 -50 250
"1640" "(48,60]" 0.0584063362393066 -50 250
"1641" "(12,24]" 0.0280141821667136 -50 300
"1642" "(24,36]" -0.0215663119058131 -50 300
"1643" "(36,48]" -0.00139315785104905 -50 300
"1644" "(48,60]" 0.060044693782484 -50 300
"1645" "(12,24]" 0.0268231484082882 -50 350
"1646" "(24,36]" -0.0219558340364513 -50 350
"1647" "(36,48]" -0.00167000862723763 -50 350
"1648" "(48,60]" 0.0576295989069283 -50 350
"1649" "(12,24]" 0.00966402173797232 -50 400
"1650" "(24,36]" -0.0246402114187804 -50 400
"1651" "(36,48]" -0.00504469352925176 -50 400
"1652" "(48,60]" 0.0515546197618578 -50 400
"1653" "(12,24]" 0.0142019382609712 -50 450
"1654" "(24,36]" -0.0229256509327354 -50 450
"1655" "(36,48]" -0.0062870512078208 -50 450
"1656" "(48,60]" 0.0420339971468724 -50 450
"1657" "(12,24]" 0.00687127747661827 -50 500
"1658" "(24,36]" -0.0235930486720659 -50 500
"1659" "(36,48]" -0.00890859638894435 -50 500
"1660" "(48,60]" 0.031564814588535 -50 500
"1661" "(12,24]" 0.00372561564882203 -50 550
"1662" "(24,36]" -0.0250778815279663 -50 550
"1663" "(36,48]" -0.00894632505661233 -50 550
"1664" "(48,60]" 0.0335292818600233 -50 550
"1665" "(12,24]" 0.00206632248983058 -50 600
"1666" "(24,36]" -0.0238215472115136 -50 600
"1667" "(36,48]" -0.00745513584831888 -50 600
"1668" "(48,60]" 0.0281252440198262 -50 600
"1669" "(12,24]" 0.00940798753479743 -50 650
"1670" "(24,36]" -0.0238045726444657 -50 650
"1671" "(36,48]" -0.0113683655940658 -50 650
"1672" "(48,60]" 0.0213383475762957 -50 650
"1673" "(12,24]" 0.00399282188285358 -50 700
"1674" "(24,36]" -0.0231678423622016 -50 700
"1675" "(36,48]" -0.010893316008021 -50 700
"1676" "(48,60]" 0.0221388206318593 -50 700
"1677" "(12,24]" 0.00107905846121763 -50 750
"1678" "(24,36]" -0.0247218730317875 -50 750
"1679" "(36,48]" -0.00909505359408496 -50 750
"1680" "(48,60]" 0.0211020619128744 -50 750
"1681" "(12,24]" -0.00860431274043758 -50 800
"1682" "(24,36]" -0.0243611096158508 -50 800
"1683" "(36,48]" -0.00669139673033351 -50 800
"1684" "(48,60]" 0.0197581399180055 -50 800
"1685" "(12,24]" 0.00613569831676351 -50 850
"1686" "(24,36]" -0.0221330974787085 -50 850
"1687" "(36,48]" -0.00490032734163035 -50 850
"1688" "(48,60]" 0.0212514988021915 -50 850
"1689" "(12,24]" 0.00919050524570191 -50 900
"1690" "(24,36]" -0.0219814105009867 -50 900
"1691" "(36,48]" -0.00236484153538679 -50 900
"1692" "(48,60]" 0.0220137418823397 -50 900
"1693" "(12,24]" 0.0108706668262365 -50 950
"1694" "(24,36]" -0.0215992932354478 -50 950
"1695" "(36,48]" 0.000603555675440306 -50 950
"1696" "(48,60]" 0.022838256290822 -50 950
"1697" "(12,24]" 0.0131370829069612 -50 1000
"1698" "(24,36]" -0.0163081432147722 -50 1000
"1699" "(36,48]" 0.00475027367891124 -50 1000
"1700" "(48,60]" 0.0245390033408289 -50 1000
"1701" "(12,24]" 0.00843249485759313 -50 1050
"1702" "(24,36]" -0.0111659507220776 -50 1050
"1703" "(36,48]" 0.0105955582048074 -50 1050
"1704" "(48,60]" 0.0272720015858981 -50 1050
"1705" "(12,24]" 0.010814807690407 -50 1100
"1706" "(24,36]" -0.0074597050271429 -50 1100
"1707" "(36,48]" 0.0158188769788976 -50 1100
"1708" "(48,60]" 0.0273783259297332 -50 1100
"1709" "(12,24]" 0.0113736081363466 -50 1150
"1710" "(24,36]" -0.00281505397290764 -50 1150
"1711" "(36,48]" 0.0182479862189705 -50 1150
"1712" "(48,60]" 0.0164390042324523 -50 1150
"1713" "(12,24]" 0.0114976326997361 -50 1200
"1714" "(24,36]" 0.00208616132085912 -50 1200
"1715" "(36,48]" 0.0271878295335898 -50 1200
"1716" "(48,60]" 0.0153926203371779 -50 1200
"1717" "(12,24]" 0.0145619967233449 -50 1250
"1718" "(24,36]" 0.0055938411535843 -50 1250
"1719" "(36,48]" 0.0306088280798543 -50 1250
"1720" "(48,60]" 0.013823098369345 -50 1250
"1721" "(12,24]" 0.0105805776218399 -50 1300
"1722" "(24,36]" 0.00691558077808226 -50 1300
"1723" "(36,48]" 0.0346530783946979 -50 1300
"1724" "(48,60]" 0.0122025807246142 -50 1300
"1725" "(12,24]" 0.0118390676550428 -50 1350
"1726" "(24,36]" 0.00848839873642763 -50 1350
"1727" "(36,48]" 0.0375510973627862 -50 1350
"1728" "(48,60]" 0.0125138282475669 -50 1350
"1729" "(12,24]" 0.0113503714243353 -50 1400
"1730" "(24,36]" 0.0105396078324473 -50 1400
"1731" "(36,48]" 0.0424077155415225 -50 1400
"1732" "(48,60]" 0.0113812095628005 -50 1400
"1733" "(12,24]" 0.0145503435614069 -50 1450
"1734" "(24,36]" 0.0124978122603774 -50 1450
"1735" "(36,48]" 0.0481841754827758 -50 1450
"1736" "(48,60]" 0.0111461638927093 -50 1450
"1737" "(12,24]" 0.0123937199617124 -50 1500
"1738" "(24,36]" 0.0138327361157804 -50 1500
"1739" "(36,48]" 0.0510160411876045 -50 1500
"1740" "(48,60]" 0.00714987807136278 -50 1500
"1741" "(12,24]" 0.0124937710459948 -50 1550
"1742" "(24,36]" 0.0155908883123205 -50 1550
"1743" "(36,48]" 0.0550391549238405 -50 1550
"1744" "(48,60]" 0.0120139969049947 -50 1550
"1745" "(12,24]" 0.0162657152207203 -50 1600
"1746" "(24,36]" 0.0238834987633665 -50 1600
"1747" "(36,48]" 0.0601863269418153 -50 1600
"1748" "(48,60]" 0.0131406604448194 -50 1600
"1749" "(12,24]" 0.025500649283089 -50 1650
"1750" "(24,36]" 0.0259015750237387 -50 1650
"1751" "(36,48]" 0.0619590715629113 -50 1650
"1752" "(48,60]" 0.0124722908462487 -50 1650
"1753" "(12,24]" 0.0246412875277132 -50 1700
"1754" "(24,36]" 0.0300991136767112 -50 1700
"1755" "(36,48]" 0.0639887267874259 -50 1700
"1756" "(48,60]" 0.0159682482404332 -50 1700
"1757" "(12,24]" 0.0255500955127329 -50 1750
"1758" "(24,36]" 0.0335118190273057 -50 1750
"1759" "(36,48]" 0.0656004550395106 -50 1750
"1760" "(48,60]" 0.0175317179701214 -50 1750
"1761" "(12,24]" 0.0280970498077756 -50 1800
"1762" "(24,36]" 0.0362459926710877 -50 1800
"1763" "(36,48]" 0.0663634427105896 -50 1800
"1764" "(48,60]" 0.0209696852103797 -50 1800
"1765" "(12,24]" 0.030462604694571 -50 1850
"1766" "(24,36]" 0.0382250583596267 -50 1850
"1767" "(36,48]" 0.0687340885462698 -50 1850
"1768" "(48,60]" 0.0262229473155634 -50 1850
"1769" "(12,24]" 0.0286975557226597 -50 1900
"1770" "(24,36]" 0.0408462947925557 -50 1900
"1771" "(36,48]" 0.0694828399845561 -50 1900
"1772" "(48,60]" 0.0293173615885478 -50 1900
"1773" "(12,24]" 0.0304512283807939 -50 1950
"1774" "(24,36]" 0.0406141520167191 -50 1950
"1775" "(36,48]" 0.0653685625756777 -50 1950
"1776" "(48,60]" 0.0329538552289975 -50 1950
"1777" "(12,24]" 0.0337787377785279 -50 2000
"1778" "(24,36]" 0.0426012162473465 -50 2000
"1779" "(36,48]" 0.0653936594589821 -50 2000
"1780" "(48,60]" 0.0380006512646336 -50 2000
"1781" "(12,24]" 0.0346128907166754 -50 2050
