"age_binned" "mean" "startTime" "endTime"
"111" "(36,48]" 0.0249984049955007 -300 1350
"112" "(48,60]" 0.0197770645425168 -300 1350
"113" "(12,24]" 0.0196434023499542 -300 1400
"114" "(24,36]" -0.00103977825234473 -300 1400
"115" "(36,48]" 0.0284719827492249 -300 1400
"116" "(48,60]" 0.0179843330980869 -300 1400
"117" "(12,24]" 0.0206574364922694 -300 1450
"118" "(24,36]" 0.000945199794120543 -300 1450
"119" "(36,48]" 0.0341407362815291 -300 1450
"120" "(48,60]" 0.0175731856949799 -300 1450
"121" "(12,24]" 0.0199262355413889 -300 1500
"122" "(24,36]" 0.00248634073410578 -300 1500
"123" "(36,48]" 0.0367243227820366 -300 1500
"124" "(48,60]" 0.0119394964211689 -300 1500
"125" "(12,24]" 0.0237875863367627 -300 1550
"126" "(24,36]" 0.00433208570247057 -300 1550
"127" "(36,48]" 0.0409613975568505 -300 1550
"128" "(48,60]" 0.0159406955544479 -300 1550
"129" "(12,24]" 0.0272171652485273 -300 1600
"130" "(24,36]" 0.0118754343352952 -300 1600
"131" "(36,48]" 0.0452139931811914 -300 1600
"132" "(48,60]" 0.0156148224117986 -300 1600
"133" "(12,24]" 0.0217536571614021 -300 1650
"134" "(24,36]" 0.0153743270450114 -300 1650
"135" "(36,48]" 0.0468538441284069 -300 1650
"136" "(48,60]" 0.0144446991775838 -300 1650
"137" "(12,24]" 0.0216871524752713 -300 1700
"138" "(24,36]" 0.0196221179298623 -300 1700
"139" "(36,48]" 0.0493278775701678 -300 1700
"140" "(48,60]" 0.0163578867726817 -300 1700
"141" "(12,24]" 0.0225275977023153 -300 1750
"142" "(24,36]" 0.0232238274700433 -300 1750
"143" "(36,48]" 0.0502841118535722 -300 1750
"144" "(48,60]" 0.0159161045994378 -300 1750
"145" "(12,24]" 0.022853508773559 -300 1800
"146" "(24,36]" 0.0264671422194442 -300 1800
"147" "(36,48]" 0.0503261817139157 -300 1800
"148" "(48,60]" 0.0186639488315448 -300 1800
"149" "(12,24]" 0.0238356004974602 -300 1850
"150" "(24,36]" 0.0288139920490888 -300 1850
"151" "(36,48]" 0.0525126152913477 -300 1850
"152" "(48,60]" 0.0224833093651736 -300 1850
"153" "(12,24]" 0.0279327847473273 -300 1900
"154" "(24,36]" 0.0314765509093049 -300 1900
"155" "(36,48]" 0.0515378375073038 -300 1900
"156" "(48,60]" 0.0256072797209698 -300 1900
"157" "(12,24]" 0.0299018293788746 -300 1950
"158" "(24,36]" 0.031247192657096 -300 1950
"159" "(36,48]" 0.047706862860454 -300 1950
"160" "(48,60]" 0.0289285692398679 -300 1950
"161" "(12,24]" 0.0286909665477515 -300 2000
"162" "(24,36]" 0.0335885913514895 -300 2000
"163" "(36,48]" 0.04764172761543 -300 2000
"164" "(48,60]" 0.0341902464666737 -300 2000
"165" "(12,24]" 0.0282026215291128 -300 2050
"166" "(24,36]" 0.0322972130186668 -300 2050
"167" "(36,48]" 0.0481527388883106 -300 2050
"168" "(48,60]" 0.0345615626243019 -300 2050
"169" "(12,24]" 0.0316708670854778 -300 2100
"170" "(24,36]" 0.0331693204434622 -300 2100
"171" "(36,48]" 0.0501623545520431 -300 2100
"172" "(48,60]" 0.0341914953208523 -300 2100
"173" "(12,24]" 0.0272414306075121 -300 2150
"174" "(24,36]" 0.0347362818802991 -300 2150
"175" "(36,48]" 0.0509204645001268 -300 2150
"176" "(48,60]" 0.0327213451901006 -300 2150
"177" "(12,24]" 0.0282807784751919 -300 2200
"178" "(24,36]" 0.0339587526479341 -300 2200
"179" "(36,48]" 0.052912021003566 -300 2200
"180" "(48,60]" 0.0374928540029874 -300 2200
"181" "(12,24]" 0.0281304441342266 -300 2250
"182" "(24,36]" 0.0382524051526145 -300 2250
"183" "(36,48]" 0.0548631580046331 -300 2250
"184" "(48,60]" 0.0386947250241818 -300 2250
"185" "(12,24]" 0.0254370312147338 -300 2300
"186" "(24,36]" 0.0388859450024192 -300 2300
"187" "(36,48]" 0.0569803488490764 -300 2300
"188" "(48,60]" 0.0381897243326026 -300 2300
"189" "(12,24]" 0.0263591652144604 -300 2350
"190" "(24,36]" 0.0409681477130333 -300 2350
"191" "(36,48]" 0.0569395002449735 -300 2350
"192" "(48,60]" 0.0353199193459738 -300 2350
"193" "(12,24]" 0.0291660355326126 -300 2400
"194" "(24,36]" 0.0443279842558008 -300 2400
"195" "(36,48]" 0.0595016265955255 -300 2400
"196" "(48,60]" 0.0334031300921261 -300 2400
"197" "(12,24]" 0.0278990098584401 -300 2450
"198" "(24,36]" 0.0452648217985357 -300 2450
"199" "(36,48]" 0.0600757052397324 -300 2450
"200" "(48,60]" 0.0322034457775203 -300 2450
"201" "(12,24]" 0.0279448600760395 -300 2500
"202" "(24,36]" 0.0462831888101749 -300 2500
"203" "(36,48]" 0.0625863902387259 -300 2500
"204" "(48,60]" 0.0305685004492004 -300 2500
"205" "(12,24]" 0.0257203100938925 -300 2550
"206" "(24,36]" 0.0490618309562865 -300 2550
"207" "(36,48]" 0.0638180211075643 -300 2550
"208" "(48,60]" 0.0287679316552057 -300 2550
"209" "(12,24]" 0.0183652194679045 -300 2600
"210" "(24,36]" 0.0497159575123459 -300 2600
"211" "(36,48]" 0.0679481445259299 -300 2600
"212" "(48,60]" 0.028346865929532 -300 2600
"213" "(12,24]" 0.0235398715316697 -300 2650
"214" "(24,36]" 0.0516363666973039 -300 2650
"215" "(36,48]" 0.0689248224783306 -300 2650
"216" "(48,60]" 0.0291346083738842 -300 2650
"217" "(12,24]" 0.0240956642739262 -300 2700
"218" "(24,36]" 0.0521248304547095 -300 2700
"219" "(36,48]" 0.0697857353718136 -300 2700
"220" "(48,60]" 0.0296049967017868 -300 2700
"221" "(12,24]" 0.0333674182628738 -300 2750
