"effect" "term" "estimate" "std.error" "statistic" "df" "p.value" "startTime" "windowLength"
"1" "fixed" "(Intercept)" 0.486997376219587 0.0207362154738954 23.4853547327699 38.6696095191225 1.71286983264866e-24 -500 300
"2" "fixed" "age_center" 0.000966948089500573 0.00365436204944307 0.264601064814565 1210.83718543306 0.791361832116122 -500 300
"3" "fixed" "(Intercept)" 0.488019345077886 0.0210663558409983 23.1658170383758 39.4120457077961 1.4506019455942e-24 -475 300
"4" "fixed" "age_center" 0.000968798662569317 0.00366359525576297 0.264439326654701 1228.94319068446 0.791485751583135 -475 300
"5" "fixed" "(Intercept)" 0.48680753403028 0.0211274798624874 23.0414387896128 39.3748339134356 1.82714418444473e-24 -450 300
"6" "fixed" "age_center" 0.00266780874919601 0.00365223938678491 0.730458348061488 1235.07767268128 0.465248596843867 -450 300
"7" "fixed" "(Intercept)" 0.485648563085589 0.0209698238351418 23.1594011901867 37.9833632322992 5.26300919685582e-24 -425 300
"8" "fixed" "age_center" 0.00370341430955424 0.00366746879547325 1.00980117789287 1211.99179719851 0.312792108084741 -425 300
"9" "fixed" "(Intercept)" 0.487149563992454 0.0207150895392128 23.5166525865264 36.6056788340177 1.09185045795569e-23 -400 300
"10" "fixed" "age_center" 0.00312718647975891 0.0036585994220339 0.854749623838411 1191.16020821973 0.392861648646487 -400 300
"11" "fixed" "(Intercept)" 0.488355964482122 0.0205873225022421 23.7211985399722 36.1587356387382 1.23574736414518e-23 -375 300
"12" "fixed" "age_center" 0.00353111997759365 0.00366773316054409 0.962752693020292 1187.02184442499 0.335867725910062 -375 300
"13" "fixed" "(Intercept)" 0.486504822224543 0.0206684198703922 23.5385590807292 36.8505129515021 8.41566996860084e-24 -350 300
"14" "fixed" "age_center" 0.00296279531562469 0.00367039089304988 0.807215199131768 1194.33392663071 0.419703233514445 -350 300
"15" "fixed" "(Intercept)" 0.486523068578695 0.0204477536477291 23.7934727188347 35.4675452579589 2.15384745879662e-23 -325 300
"16" "fixed" "age_center" 0.00377888468192522 0.00366588031023842 1.03082598506318 1173.07347286438 0.302834911418588 -325 300
"17" "fixed" "(Intercept)" 0.489545630933194 0.0205891510923019 23.7768730113516 35.1755053939226 2.91753932696864e-23 -300 300
"18" "fixed" "age_center" 0.00329580102843308 0.00365862556497488 0.900830371925669 1178.81386229883 0.367862515524133 -300 300
"19" "fixed" "(Intercept)" 0.48918752048498 0.0201462305597837 24.2818386811033 35.0271562350613 1.67924167856724e-23 -275 300
"20" "fixed" "age_center" 0.0034955183594363 0.0036506134395069 0.957515337452013 1154.39708113424 0.338507690994059 -275 300
"21" "fixed" "(Intercept)" 0.489112419366386 0.0198345285667785 24.6596443025934 34.940730588131 1.09716041413714e-23 -250 300
"22" "fixed" "age_center" 0.0036658014264933 0.00364261213683096 1.0063661155213 1140.59511281709 0.314452930556242 -250 300
"23" "fixed" "(Intercept)" 0.486262212171697 0.0194050165213585 25.0585827451619 33.9392512722064 1.78705226424982e-23 -225 300
"24" "fixed" "age_center" 0.00403350272590758 0.00361991055897847 1.11425480276116 1119.29245466605 0.265409094068174 -225 300
"25" "fixed" "(Intercept)" 0.48526480838578 0.0193400903232953 25.0911345435277 32.7772679790161 5.69761987947052e-23 -200 300
"26" "fixed" "age_center" 0.00379199820111591 0.00362913988089887 1.04487518408265 1112.44607453894 0.296307649281587 -200 300
"27" "fixed" "(Intercept)" 0.485533784920484 0.0190574708413137 25.4773463364257 32.1218593668372 7.08665926185432e-23 -175 300
"28" "fixed" "age_center" 0.0036330539611555 0.0036400008112686 0.998091525119556 1090.06808629508 0.318456482113586 -175 300
"29" "fixed" "(Intercept)" 0.486430904026343 0.019383050056724 25.095684250044 32.7311204532509 5.94470798657147e-23 -150 300
"30" "fixed" "age_center" 0.00336527835979923 0.00365051173202621 0.921864825217622 1102.73282336115 0.356800729226197 -150 300
"31" "fixed" "(Intercept)" 0.486246934005118 0.0194633737530864 24.9826643712276 32.337542654823 1.03095212438843e-22 -125 300
"32" "fixed" "age_center" 0.00303376630120784 0.0036535998130566 0.830349916913805 1110.54287122155 0.406519439219235 -125 300
"33" "fixed" "(Intercept)" 0.488822279320224 0.0198734358601548 24.5967674014682 32.6714191832507 1.18085560955157e-22 -100 300
"34" "fixed" "age_center" 0.00312547987164213 0.00366127123888782 0.853659744857242 1133.76179018267 0.393473864672734 -100 300
"35" "fixed" "(Intercept)" 0.489815663352664 0.0197486281963417 24.8025158245371 33.1687584470985 5.46336331591199e-23 -75 300
"36" "fixed" "age_center" 0.00341636538955818 0.00365155222474242 0.935592640962205 1140.46153192747 0.34968102537379 -75 300
"37" "fixed" "(Intercept)" 0.491049989214993 0.0200245491976543 24.5223991995043 33.5443235833074 5.34062183507655e-23 -50 300
"38" "fixed" "age_center" 0.00319866859771818 0.00365782059777519 0.874473887446455 1160.26142982096 0.382041204001324 -50 300
"39" "fixed" "(Intercept)" 0.491250308442513 0.0203468239719997 24.1438324290094 34.329368706675 4.02212804729444e-23 -25 300
