"effect" "term" "estimate" "std.error" "statistic" "df" "p.value" "startTime" "windowLength"
"1" "fixed" "(Intercept)" 0.506846164598605 0.028008017537913 18.0964669817317 26.0197863819748 2.9116606740184e-16 -500 300
"2" "fixed" "age_center" -0.00696095069451211 0.00396000165562274 -1.75781509702865 1180.51437243934 0.0790381200580464 -500 300
"3" "fixed" "(Intercept)" 0.509130194089316 0.028683955980019 17.749650516964 25.0192647242336 1.08820833671154e-15 -475 300
"4" "fixed" "age_center" -0.00669477603549654 0.00395599470222536 -1.69231167871143 1170.937749035 0.0908526012492131 -475 300
"5" "fixed" "(Intercept)" 0.513991378071937 0.0289587737784635 17.7490725955458 25.5181456363179 7.10808002292913e-16 -450 300
"6" "fixed" "age_center" -0.00581116278318239 0.00394524611726291 -1.47295317211135 1165.57173287565 0.141033644104313 -450 300
"7" "fixed" "(Intercept)" 0.513908540305875 0.0291385096077634 17.6367476313529 22.6389529009724 1.016209098735e-14 -425 300
"8" "fixed" "age_center" -0.00439102198814461 0.00395326012173156 -1.1107343946346 161.087218433245 0.268337868712142 -425 300
"9" "fixed" "(Intercept)" 0.515113788336061 0.0294813002068899 17.4725600540399 22.8068158757177 1.06673595028719e-14 -400 300
"10" "fixed" "age_center" -0.00343231921803303 0.00397637259016338 -0.863178472390586 164.296640749331 0.389297642361023 -400 300
"11" "fixed" "(Intercept)" 0.51245966158505 0.0288675431201294 17.7521051740531 21.702210379661 2.08500858841907e-14 -375 300
"12" "fixed" "age_center" -0.00236031354759788 0.00397085051327895 -0.594410074039488 163.701378617687 0.553058488745041 -375 300
"13" "fixed" "(Intercept)" 0.512898318309884 0.0292208145576561 17.5524990002546 22.4508467014442 1.33126581196177e-14 -350 300
"14" "fixed" "age_center" -0.000304951804223306 0.003984411048476 -0.0765362309543709 163.016962274931 0.939086342015884 -350 300
"15" "fixed" "(Intercept)" 0.51185170226479 0.0294963044139277 17.3530790529508 22.9273285617302 1.11010762540162e-14 -325 300
"16" "fixed" "age_center" 0.00113358345310531 0.0039918218220085 0.283976465796999 158.990453828431 0.776797900745769 -325 300
"17" "fixed" "(Intercept)" 0.509690549227998 0.029146754751992 17.487042847992 22.4928551083171 1.38668620247411e-14 -300 300
"18" "fixed" "age_center" 0.000848947155300025 0.0039706860213544 0.21380364771588 155.534113224648 0.830980201988285 -300 300
"19" "fixed" "(Intercept)" 0.502840886568117 0.0228932053809219 21.9646344057683 100.015688509264 4.73062554038675e-40 -275 300
"20" "fixed" "age_center" 0.00414798890933222 0.00417805193801419 0.992804534474923 404.574506613402 0.32139862253087 -275 300
"21" "fixed" "(Intercept)" 0.502592981350789 0.0229169042611855 21.9311027188796 100.388005276116 4.50928163505894e-40 -250 300
"22" "fixed" "age_center" 0.00408606137594255 0.00419242722115845 0.974629053861903 400.160784683498 0.330333088960989 -250 300
"23" "fixed" "(Intercept)" 0.501785184092886 0.02298160787128 21.8342070277843 100.615827241871 5.86138670497161e-40 -225 300
"24" "fixed" "age_center" 0.00419202033035895 0.00418512951293312 1.00164650040209 404.769511056696 0.317112765916026 -225 300
"25" "fixed" "(Intercept)" 0.501951806841911 0.0228682386423964 21.9497362560893 100.055190444177 4.91254298186121e-40 -200 300
"26" "fixed" "age_center" 0.00404330090291146 0.00417130214102589 0.969313841628614 402.518321636074 0.33297069502439 -200 300
"27" "fixed" "(Intercept)" 0.498193684841326 0.0230217388785139 21.6401414102689 97.8163371778115 4.50684377249513e-39 -175 300
"28" "fixed" "age_center" 0.0041881407727319 0.0041332559525711 1.01327883411785 396.860390033121 0.311544355810702 -175 300
"29" "fixed" "(Intercept)" 0.495706673817019 0.0231408469305716 21.4212848520309 98.1886785843654 8.64325747234447e-39 -150 300
"30" "fixed" "age_center" 0.0040184735761728 0.00414997138223686 0.968313563166505 392.240493219573 0.333484470785119 -150 300
"31" "fixed" "(Intercept)" 0.496004815184726 0.022809656149456 21.7453876522621 100.300938783052 9.51763320552682e-40 -125 300
"32" "fixed" "age_center" 0.00429679840336013 0.00416033727670371 1.03280049610895 385.706019180697 0.302344412966543 -125 300
"33" "fixed" "(Intercept)" 0.494598390664082 0.0227432680148626 21.7470237936282 100.706712980895 7.84018215146387e-40 -100 300
"34" "fixed" "age_center" 0.00439913209149034 0.00415408319726544 1.05898988599607 381.353814328415 0.290274674282184 -100 300
"35" "fixed" "(Intercept)" 0.493011116034047 0.0226488654847115 21.7675855051919 100.52442185037 7.88504975207185e-40 -75 300
"36" "fixed" "age_center" 0.00346418090764658 0.00413269500156409 0.838237737441429 386.07696569091 0.402415845940561 -75 300
"37" "fixed" "(Intercept)" 0.492845434393711 0.0226128245335677 21.7949524024345 100.881910159444 6.019026037325e-40 -50 300
"38" "fixed" "age_center" 0.0035271593042767 0.00412344181403322 0.855392039793745 390.12307116112 0.392859176361657 -50 300
"39" "fixed" "(Intercept)" 0.490208745368535 0.0221523915884845 22.128931019049 98.8004850882733 4.55305119544882e-40 -25 300
"40" "fixed" "age_center" 0.00389638688221983 0.00402054974613391 0.969117938651679 395.299273946434 0.333078918226168 -25 300
"41" "fixed" "(Intercept)" 0.488670001954206 0.0226670899144849 21.5585681178214 100.171397790927 2.0630908607113e-39 0 300
"42" "fixed" "age_center" 0.0038821827798527 0.00403657901146722 0.961750722288376 398.748003354989 0.336757675046534 0 300
"43" "fixed" "(Intercept)" 0.486545556034098 0.0226483207682314 21.4826326866834 99.3179098807902 4.07648521458756e-39 25 300
"44" "fixed" "age_center" 0.00399658749076432 0.00399902820061723 0.999389674258229 408.831497845677 0.318197096183332 25 300
"45" "fixed" "(Intercept)" 0.489452413717702 0.0226980174075603 21.5636636860924 96.929438808276 9.09020296740551e-39 50 300
"46" "fixed" "age_center" 0.00422559985547214 0.00395830302913574 1.06752813626671 410.173246976787 0.286361311695071 50 300
"47" "fixed" "(Intercept)" 0.4880770721395 0.022416581305331 21.7730378014166 96.085642097803 6.24667196641489e-39 75 300
"48" "fixed" "age_center" 0.00479525178671263 0.00392765736690888 1.22089361131991 412.323690783519 0.22282399189794 75 300
"49" "fixed" "(Intercept)" 0.486235283705055 0.0223718900018996 21.7342067953923 95.3033109396237 1.04826084181779e-38 100 300
"50" "fixed" "age_center" 0.00435280671931547 0.00391397516120753 1.11211914742263 411.925805978555 0.266735548014386 100 300
"51" "fixed" "(Intercept)" 0.48448467002999 0.022354730102649 21.6725797093197 95.2059472568008 1.37614534438619e-38 125 300
"52" "fixed" "age_center" 0.00324820332365432 0.00389825257899919 0.833245988511152 412.415412458529 0.405188307326563 125 300
"53" "fixed" "(Intercept)" 0.488056866281945 0.0221122760942974 22.0717606907871 93.6683112516645 6.89044540994236e-39 150 300
"54" "fixed" "age_center" 0.00252386010418027 0.00384356205632541 0.656646118156649 413.017518550848 0.511774181381318 150 300
"55" "fixed" "(Intercept)" 0.491369033991353 0.0218147618395885 22.5246114353463 92.1016391804562 3.10464492326444e-39 175 300
"56" "fixed" "age_center" 0.00264224386604184 0.0038060992473697 0.694213075990552 411.471219238418 0.487940346517736 175 300
"57" "fixed" "(Intercept)" 0.490736102852309 0.0217778330568595 22.533743443209 91.0065397695523 5.31827428018457e-39 200 300
"58" "fixed" "age_center" 0.00238151755160156 0.0037772637146095 0.630487498765428 407.168896004441 0.528729376050862 200 300
"59" "fixed" "(Intercept)" 0.490627551976351 0.0215698329555105 22.7460060997371 91.3628741294221 2.13144401451226e-39 225 300
"60" "fixed" "age_center" 0.00231777279249723 0.00375428661931636 0.617367033345815 399.331661890939 0.537344525465501 225 300
"61" "fixed" "(Intercept)" 0.493903768383223 0.021887616540949 22.5654432249025 87.884171687578 2.49582446469022e-38 250 300
"62" "fixed" "age_center" 0.0023985225119735 0.00369833941773311 0.648540396393273 398.809035887155 0.517008739021766 250 300
"63" "fixed" "(Intercept)" 0.493932119618907 0.0220164516515925 22.4346832739135 86.9785490378343 6.26107701551692e-38 275 300
"64" "fixed" "age_center" 0.00162207049523691 0.00366928663349482 0.442066989378796 397.689699712341 0.658681028280139 275 300
"65" "fixed" "(Intercept)" 0.49579609538381 0.022311197050196 22.2218509508191 85.1810846960263 3.31010961989801e-37 300 300
"66" "fixed" "age_center" 0.00131466650117532 0.00361467558530029 0.363702487305261 387.299863975761 0.716278636297418 300 300
"67" "fixed" "(Intercept)" 0.497613070799009 0.022446226099161 22.1691195927857 84.4499550669289 5.82533775247512e-37 325 300
"68" "fixed" "age_center" 0.00110089091471896 0.00360048836330635 0.305761553332172 392.343075353697 0.759948369992598 325 300
"69" "fixed" "(Intercept)" 0.501903968590196 0.0221377620884124 22.6718476143037 83.2439870674556 2.24797374869651e-37 350 300
"70" "fixed" "age_center" 9.45043567431485e-06 0.00357438653516235 0.0026439322052464 389.114656457282 0.997891804693491 350 300
"71" "fixed" "(Intercept)" 0.504212823423078 0.0226377105315746 22.2731367962238 83.5783732224835 6.67088567908e-37 375 300
"72" "fixed" "age_center" -0.00111859243302334 0.00358447084312422 -0.312066266397183 392.695381315402 0.755155790734688 375 300
"73" "fixed" "(Intercept)" 0.505829809101234 0.0230306051035129 21.9633746845878 85.2530714802674 7.4570944933252e-37 400 300
"74" "fixed" "age_center" -0.00206132830739393 0.00363615557554664 -0.566897720564127 392.088900182436 0.571108055383685 400 300
"75" "fixed" "(Intercept)" 0.50747454439367 0.0234456126306073 21.6447551356019 87.2194777276576 7.83297144441833e-37 425 300
"76" "fixed" "age_center" -0.00230526639306663 0.00369998842792645 -0.623046919732813 390.544228129773 0.533617344966589 425 300
"77" "fixed" "(Intercept)" 0.511889369942642 0.0236601949639911 21.6350444584965 88.3652745422929 4.53145195421573e-37 450 300
"78" "fixed" "age_center" -0.00253655369713315 0.00371498575306597 -0.682789616363869 392.953590246964 0.495142118797558 450 300
"79" "fixed" "(Intercept)" 0.51653882362013 0.0236600170905361 21.8317181109199 90.2818967386722 8.73560378278897e-38 475 300
"80" "fixed" "age_center" -0.00263898453982955 0.00376758134219551 -0.700445272481288 399.838595647456 0.484056646003757 475 300
"81" "fixed" "(Intercept)" 0.517184923431763 0.0240013187155199 21.5481878125862 93.1049259294131 5.93865461307883e-38 500 300
"82" "fixed" "age_center" -0.00309592913029962 0.00380941868156064 -0.812703824151795 402.056965453384 0.41686884589864 500 300
"83" "fixed" "(Intercept)" 0.520525869574711 0.0241896117406698 21.5185706639332 94.1422592222006 4.01717875095346e-38 525 300
"84" "fixed" "age_center" -0.00266521349106956 0.00381493121399722 -0.69862687990041 403.344929058897 0.485187851780954 525 300
