"effect" "term" "estimate" "std.error" "statistic" "df" "p.value" "startTime" "windowLength"
"1" "fixed" "(Intercept)" 0.497597571072122 0.0124996224330698 39.8090081309694 47.1135665851796 6.34683518262171e-38 -500 300
"2" "fixed" "age_center" -0.00159496703639622 0.00212638140194666 -0.750085114051534 2974.5130254188 0.453262768007817 -500 300
"3" "fixed" "(Intercept)" 0.495468822992921 0.0126395389716801 39.1999125999025 47.0650498153126 1.36777029482157e-37 -475 300
"4" "fixed" "age_center" -0.00145064862222191 0.00212603409137572 -0.68232613395358 2966.33446399558 0.495086027759861 -475 300
"5" "fixed" "(Intercept)" 0.495859042440529 0.0126267653938172 39.2704724428736 48.0112407506574 3.75285923039508e-38 -450 300
"6" "fixed" "age_center" -0.00128340845397085 0.00212845257896615 -0.602977236445752 3001.77101817765 0.546569384885297 -450 300
"7" "fixed" "(Intercept)" 0.495051421773234 0.0126497817935334 39.1351748080197 46.6746931397116 2.43445868411236e-37 -425 300
"8" "fixed" "age_center" -0.00121826462309206 0.00212872299731606 -0.572298333145304 2912.69068033737 0.567164046526497 -425 300
"9" "fixed" "(Intercept)" 0.495677656717374 0.0125750021251171 39.4176996381827 46.1622189917971 3.41186704751814e-37 -400 300
"10" "fixed" "age_center" -0.000970599532792922 0.00212311501710747 -0.457158243887919 2894.89285131088 0.647591611985645 -400 300
"11" "fixed" "(Intercept)" 0.497014377113639 0.0125085570116381 39.7339498593812 45.2878183072009 7.49294848774407e-37 -375 300
"12" "fixed" "age_center" -0.00117901373044145 0.00212005338047473 -0.556124549174059 2850.19857742681 0.578169368020547 -375 300
"13" "fixed" "(Intercept)" 0.498281549953176 0.0129948889869819 38.3444252930785 46.3323527937508 9.47281362999908e-37 -350 300
"14" "fixed" "age_center" -0.00122791406436733 0.00212785240641625 -0.577067310056242 2970.60583188596 0.563937714194952 -350 300
"15" "fixed" "(Intercept)" 0.498954736004227 0.0128618254014159 38.7934620811523 47.5899558037193 1.13017879897228e-37 -325 300
"16" "fixed" "age_center" -0.001278756077935 0.00212341274891448 -0.602217387358498 3030.78036667037 0.547074492967137 -325 300
"17" "fixed" "(Intercept)" 0.497578720181524 0.0128613610948891 38.6878742079059 47.906526850999 8.5908151854079e-38 -300 300
"18" "fixed" "age_center" -0.00131749641315566 0.00212178947196009 -0.620936445659038 3037.03664124647 0.534688036817018 -300 300
"19" "fixed" "(Intercept)" 0.496631703478061 0.0127062356471532 39.0856676414096 48.0434835094486 4.48747892240819e-38 -275 300
"20" "fixed" "age_center" -0.00145031475088647 0.00211557253738816 -0.685542436033417 3058.38582586512 0.493053649705778 -275 300
"21" "fixed" "(Intercept)" 0.495789096445479 0.0126251430374447 39.2699785638092 47.9626310009408 3.99522941169552e-38 -250 300
"22" "fixed" "age_center" -0.00179811509066677 0.00211304337527052 -0.850959858046725 3043.15191640288 0.394858603545106 -250 300
"23" "fixed" "(Intercept)" 0.494946157306563 0.012539999153747 39.4693931983777 48.069704788079 2.75182878220335e-38 -225 300
"24" "fixed" "age_center" -0.00150176577307697 0.00210809990723593 -0.712378843109972 3066.2943038528 0.476284413673977 -225 300
"25" "fixed" "(Intercept)" 0.493339408986944 0.0125645117624342 39.264510895039 47.599710496459 6.39268525905927e-38 -200 300
"26" "fixed" "age_center" -0.00156448748108304 0.00210786950916688 -0.742212681705043 3038.01929987768 0.45801586420705 -200 300
"27" "fixed" "(Intercept)" 0.492956833880285 0.012437836197838 39.6336489755325 47.2162818835836 6.80251984863412e-38 -175 300
"28" "fixed" "age_center" -0.00182443702932721 0.00210477668828099 -0.866807884886476 2999.3775841535 0.38611661714207 -175 300
"29" "fixed" "(Intercept)" 0.490776470654116 0.0123145504848098 39.8533808651398 46.7427876703429 9.76673750807804e-38 -150 300
"30" "fixed" "age_center" -0.00237304490425969 0.00210376218441306 -1.12800055150804 2968.17539679584 0.259410855372984 -150 300
"31" "fixed" "(Intercept)" 0.490891245045248 0.0121666725967739 40.347205954684 46.7010507170531 5.89504016045693e-38 -125 300
"32" "fixed" "age_center" -0.00275502232280089 0.00209884111167318 -1.3126397741488 2954.71489066779 0.189406307159692 -125 300
"33" "fixed" "(Intercept)" 0.489177653124265 0.0119351441588073 40.9863212890717 44.9847767766244 2.8677050259058e-37 -100 300
"34" "fixed" "age_center" -0.00245057691386118 0.00209401598705704 -1.17027612444605 2845.70887613458 0.24198786297373 -100 300
"35" "fixed" "(Intercept)" 0.487334091561582 0.0119340523419165 40.8355919346774 45.1225855473463 2.8009435734234e-37 -75 300
"36" "fixed" "age_center" -0.00211096184141833 0.00209262170215354 -1.00876419242232 2864.19635586719 0.313172948513124 -75 300
"37" "fixed" "(Intercept)" 0.486864319044485 0.0117462781516246 41.4483900993908 44.2763223314228 4.60210532207452e-37 -50 300
"38" "fixed" "age_center" -0.00162659045660135 0.00209026852205823 -0.778172966504652 2828.24116958496 0.436532145162822 -50 300
"39" "fixed" "(Intercept)" 0.486202100989406 0.0117874916957725 41.2472910724321 44.1520824075436 6.72400453147842e-37 -25 300
"40" "fixed" "age_center" -0.000936146744314425 0.00209232141988931 -0.447420140813715 2816.25793664484 0.654606145861647 -25 300
"41" "fixed" "(Intercept)" 0.485835949252836 0.0117684107915811 41.2830549389383 45.2311981843395 1.49770036211955e-37 0 300
"42" "fixed" "age_center" -0.00066718144212178 0.00208716731152429 -0.31965882104321 2869.92031719022 0.749250246187877 0 300
"43" "fixed" "(Intercept)" 0.486261006290819 0.0119141013715199 40.8139053989589 45.3903945630421 2.00253363078953e-37 25 300
"44" "fixed" "age_center" -0.000526932347005628 0.00209065124785088 -0.252042203379113 2891.65870993605 0.801026354787846 25 300
"45" "fixed" "(Intercept)" 0.486641419096365 0.0121840298162434 39.9409248365092 47.0745875884255 5.73837076059854e-38 50 300
"46" "fixed" "age_center" -0.000147166739793482 0.00209606076009221 -0.0702111038932899 2992.18578380609 0.94403032836079 50 300
"47" "fixed" "(Intercept)" 0.486864223691606 0.0124215694940724 39.1950649975382 48.7222091905636 1.66405367899175e-38 75 300
"48" "fixed" "age_center" 3.14898690579537e-05 0.00209885833202873 0.0150033323247291 3085.68858713118 0.98803049181628 75 300
"49" "fixed" "(Intercept)" 0.486501163920864 0.0127475463090349 38.1642986129852 51.8498902542489 1.26453382671492e-39 100 300
"50" "fixed" "age_center" 0.00076696813261171 0.00209947354721706 0.365314501641785 3252.43683052731 0.714900409040016 100 300
"51" "fixed" "(Intercept)" 0.48807182339263 0.012861589425843 37.948017716375 52.8019614365513 5.35264833295918e-40 125 300
"52" "fixed" "age_center" 0.00097870068507348 0.00209991953404095 0.466065803573974 3317.61215923107 0.641198997002121 125 300
"53" "fixed" "(Intercept)" 0.492304652924757 0.012998528815741 37.8738747979374 53.0979767829408 4.15231034998123e-40 150 300
"54" "fixed" "age_center" 0.000941742876799296 0.00210228177929364 0.447962250386681 3375.11735153958 0.65420919241861 150 300
"55" "fixed" "(Intercept)" 0.49625781917808 0.0129991885802367 38.176061229896 52.6635037571934 4.6592006747372e-40 175 300
"56" "fixed" "age_center" 0.00151316643915389 0.00210010438771308 0.720519631313023 3358.91567210727 0.471255255486854 175 300
"57" "fixed" "(Intercept)" 0.499377895210755 0.0129037439550851 38.7002328121957 52.8858253465218 1.77632659150918e-40 200 300
"58" "fixed" "age_center" 0.00220206177517965 0.00209901459864132 1.04909312045997 3386.52004668047 0.294210123601737 200 300
"59" "fixed" "(Intercept)" 0.502935606849706 0.0130036129556403 38.6766053838568 53.9201369266751 5.24247688633018e-41 225 300
"60" "fixed" "age_center" 0.00228441312170483 0.00209791917056283 1.08889472662189 3449.36609048859 0.276276381881324 225 300
"61" "fixed" "(Intercept)" 0.508107296788149 0.0132789547456494 38.264103351555 55.7851895262013 1.00051182835123e-41 250 300
"62" "fixed" "age_center" 0.00263855196552051 0.00210642167169907 1.25262287269966 3545.89418306282 0.210425590356118 250 300
"63" "fixed" "(Intercept)" 0.513246438920047 0.0131227129844045 39.1113056827507 54.6062710423375 1.27421592942981e-41 275 300
"64" "fixed" "age_center" 0.00331038790635304 0.00210643449200246 1.57155986522327 3422.40663031464 0.116145099217083 275 300
"65" "fixed" "(Intercept)" 0.518323809217265 0.01328597917546 39.0128422129879 55.1562158539769 7.50173202095113e-42 300 300
"66" "fixed" "age_center" 0.00371851346985869 0.00210868036250171 1.76343154514281 3457.60179720153 0.0779160448064234 300 300
"67" "fixed" "(Intercept)" 0.522146217378124 0.0134145182644636 38.9239633570251 56.427470713221 1.85370133476992e-42 325 300
"68" "fixed" "age_center" 0.00377435145961357 0.00210964470979471 1.78909341563056 3525.01594551481 0.0736856030003964 325 300
"69" "fixed" "(Intercept)" 0.527353499437434 0.0136634588843701 38.5959004890543 56.9047837113383 1.67293103679785e-42 350 300
"70" "fixed" "age_center" 0.00421515985410215 0.00211742025556159 1.99070536093658 3545.9780641765 0.0465899206464201 350 300
"71" "fixed" "(Intercept)" 0.533275489052658 0.0138564251192477 38.4857915705756 59.0803130577461 1.54688342984076e-43 375 300
"72" "fixed" "age_center" 0.00453810579558122 0.00217794575299889 2.08366337376978 579.577639005323 0.0376283301418429 375 300
"73" "fixed" "(Intercept)" 0.539027521286082 0.0139689128879212 38.5876499918739 60.2148008626792 3.58777512748968e-44 400 300
"74" "fixed" "age_center" 0.00472988064262326 0.00225715561162141 2.09550489929473 593.502941776203 0.0365492220451966 400 300
"75" "fixed" "(Intercept)" 0.543055143577686 0.0141651992592937 38.3372752925724 62.2624377499907 5.09547526359186e-45 425 300
"76" "fixed" "age_center" 0.00501142912062275 0.00228948907907283 2.18888535718729 606.241692818244 0.0289858506821125 425 300
