"","age_binned","mean","startTime","endTime"
"117","(12,24]",-0.0220250130323418,-300,725
"118","(24,36]",-0.0216306554313474,-300,725
"119","(36,48]",-0.0184974672737856,-300,725
"120","(48,60]",0.0239107100779176,-300,725
"121","(12,24]",-0.0160341183996927,-300,750
"122","(24,36]",-0.0222857985523979,-300,750
"123","(36,48]",-0.0192531861329385,-300,750
"124","(48,60]",0.023272837846935,-300,750
"125","(12,24]",-0.0119980003010809,-300,775
"126","(24,36]",-0.021115061524236,-300,775
"127","(36,48]",-0.0196147658067581,-300,775
"128","(48,60]",0.0245612377245697,-300,775
"129","(12,24]",-0.0118073061311807,-300,800
"130","(24,36]",-0.0202568335409596,-300,800
"131","(36,48]",-0.0174781040736063,-300,800
"132","(48,60]",0.024522001060295,-300,800
"133","(12,24]",-0.0100804224256962,-300,825
"134","(24,36]",-0.0217827459431709,-300,825
"135","(36,48]",-0.0169036386364725,-300,825
"136","(48,60]",0.0273522377669429,-300,825
"137","(12,24]",-0.00858820873965823,-300,850
"138","(24,36]",-0.0217084799347944,-300,850
"139","(36,48]",-0.0179296666226502,-300,850
"140","(48,60]",0.0274872505089358,-300,850
"141","(12,24]",-0.00685870868013483,-300,875
"142","(24,36]",-0.02231349557089,-300,875
"143","(36,48]",-0.0185326848543331,-300,875
"144","(48,60]",0.0304286354419364,-300,875
"145","(12,24]",-0.00910295492398571,-300,900
"146","(24,36]",-0.0218706894059685,-300,900
"147","(36,48]",-0.0194747023614801,-300,900
"148","(48,60]",0.0254885019117221,-300,900
"149","(12,24]",-0.00752351729958253,-300,925
"150","(24,36]",-0.0208111295205273,-300,925
"151","(36,48]",-0.0197544096482332,-300,925
"152","(48,60]",0.0227078770551468,-300,925
"153","(12,24]",-0.0111537784083725,-300,950
"154","(24,36]",-0.0200319568657163,-300,950
"155","(36,48]",-0.0184891801631354,-300,950
"156","(48,60]",0.021624004324274,-300,950
"157","(12,24]",-0.0123963969918335,-300,975
"158","(24,36]",-0.0176469416426462,-300,975
"159","(36,48]",-0.0174265641750257,-300,975
"160","(48,60]",0.0234114017101879,-300,975
"161","(12,24]",-0.0119493506022735,-300,1000
"162","(24,36]",-0.0155669416745636,-300,1000
"163","(36,48]",-0.016403758626225,-300,1000
"164","(48,60]",0.0244241340622771,-300,1000
"165","(12,24]",-0.0114309133394183,-300,1025
"166","(24,36]",-0.0134051671018288,-300,1025
"167","(36,48]",-0.0156936038954571,-300,1025
"168","(48,60]",0.024620415686002,-300,1025
"169","(12,24]",-0.00984051098518733,-300,1050
"170","(24,36]",-0.010421094324271,-300,1050
"171","(36,48]",-0.0141696245261736,-300,1050
"172","(48,60]",0.0350337707551603,-300,1050
"173","(12,24]",-0.00709357076885406,-300,1075
"174","(24,36]",-0.00784774413586324,-300,1075
"175","(36,48]",-0.0103698702297127,-300,1075
"176","(48,60]",0.0343599743929925,-300,1075
"177","(12,24]",-0.0109114063794504,-300,1100
"178","(24,36]",-0.00630151104610862,-300,1100
"179","(36,48]",-0.00759344733410804,-300,1100
"180","(48,60]",0.0355119949001205,-300,1100
"181","(12,24]",-0.0103884218699349,-300,1125
"182","(24,36]",-0.00337174656740471,-300,1125
"183","(36,48]",-0.00556402309493891,-300,1125
"184","(48,60]",0.0236664304937999,-300,1125
"185","(12,24]",-0.0112658626741623,-300,1150
"186","(24,36]",-0.00187182916277681,-300,1150
"187","(36,48]",-0.00509667756394558,-300,1150
"188","(48,60]",0.0200619180949155,-300,1150
"189","(12,24]",-0.0106809895238731,-300,1175
"190","(24,36]",2.79721005153665e-05,-300,1175
"191","(36,48]",-0.00278023583924389,-300,1175
"192","(48,60]",0.0168877235806898,-300,1175
"193","(12,24]",-0.00769691741638414,-300,1200
"194","(24,36]",0.00141290058788381,-300,1200
"195","(36,48]",0.00533501960818098,-300,1200
"196","(48,60]",0.0136987268073266,-300,1200
"197","(12,24]",-0.00781746937138626,-300,1225
"198","(24,36]",0.00382167114766027,-300,1225
"199","(36,48]",0.00805757545746138,-300,1225
"200","(48,60]",0.0110368980547174,-300,1225
"201","(12,24]",-0.00751078860655083,-300,1250
"202","(24,36]",0.00461276332981573,-300,1250
"203","(36,48]",0.0102822876963443,-300,1250
"204","(48,60]",0.00995075577748794,-300,1250
"205","(12,24]",-0.00413094691837698,-300,1275
"206","(24,36]",0.00873185271205628,-300,1275
"207","(36,48]",0.0104526747998179,-300,1275
"208","(48,60]",0.00840912671020329,-300,1275
"209","(12,24]",-0.00384143929593103,-300,1300
"210","(24,36]",0.00991568434474523,-300,1300
"211","(36,48]",0.013247282440131,-300,1300
"212","(48,60]",0.00819915853031334,-300,1300
"213","(12,24]",-0.00363876097084377,-300,1325
"214","(24,36]",0.00954853413530152,-300,1325
"215","(36,48]",0.0150480967932669,-300,1325
"216","(48,60]",0.00867092067941103,-300,1325
"217","(12,24]",-0.00308181533228681,-300,1350
"218","(24,36]",0.00997241870667365,-300,1350
"219","(36,48]",0.0167935869658244,-300,1350
"220","(48,60]",0.0121212295922339,-300,1350
"221","(12,24]",-0.00324951157892408,-300,1375
"222","(24,36]",0.0106490833053392,-300,1375
"223","(36,48]",0.019847304070438,-300,1375
"224","(48,60]",0.0132585448007472,-300,1375
"225","(12,24]",-0.00278231948795867,-300,1400
"226","(24,36]",0.0112108558874732,-300,1400
"227","(36,48]",0.0222385152083257,-300,1400
"228","(48,60]",0.0148275591344334,-300,1400
"229","(12,24]",-0.00252201299132614,-300,1425
"230","(24,36]",0.00926700584893013,-300,1425
"231","(36,48]",0.0255069933700861,-300,1425
"232","(48,60]",0.0155305879525066,-300,1425
